Transaction_ID;Office;Service_Type;Processing_Time;Status;Feedback;Date
160;Fayoum Model Office;rental contract authentication;19;Pending;good;01/01/2026
161;Fayoum University Office;car operation authorization;14;Pending;not satisfied;10/01/2026
162;Itsaa Office;general comprehensive power of attorney (banks & others);12;Pending;bad experience;17/01/2026
163;Fayoum Model Office;general power of attorney (court cases);14;Pending;good;27/01/2026
164;El Fayoum Al-Dawahy Office;general comprehensive power of attorney (banks & others);13;Completed;bad experience;23/01/2026
165;Fayoum University Office;general power of attorney (tax affairs);14;Pending;good service;03/01/2026
166;Fayoum University Office;vehicle inheritance contract;211;Completed;good service;21/01/2026
167;Fayoum Model Office;general comprehensive power of attorney (banks & others);12;Completed;satisfied;17/01/2026
168;Fayoum Model Office;rental contract authentication;17;Completed;bad experience;31/01/2026
169;Al-Breid El-Gon Office;general power of attorney (court cases);15;Pending;good;21/01/2026
170;Fayoum Model Office;general power of attorney (court cases);13;Completed;satisfied;22/01/2026
171;Senores Office;general power of attorney (tax affairs);38.48291949;Pending;average service;06/01/2026
172;Senores Office;car operation authorization;11;Pending;excellent staff;24/01/2026
173;Fayoum University Office;car sale power of attorney;14;Completed;good;07/01/2026
174;Senores Office;motorcycle sale power of attorney;15;Completed;very slow process;31/01/2026
175;Al-Breid El-Gon Office;general comprehensive power of attorney (banks & others);10;Pending;not satisfied;16/01/2026
176;Tamiya Office;car operation authorization;14;Completed;good service;25/01/2026
177;Tamiya Office;rental contract authentication;38.48291949;Pending;not satisfied;08/01/2026
178;El Fayoum Al-Dawahy Office;car sale power of attorney;13;Completed;no feedback;30/01/2026
179;Youssef El-Seddik Office;general power of attorney (court cases);13;Completed;average service;16/01/2026
180;Senores Office;general comprehensive power of attorney (banks & others);13;Completed;excellent staff;28/01/2026
181;Itsaa Office;car sale power of attorney;13;Pending;bad experience;15/01/2026
182;El Fayoum Al-Dawahy Office;vehicle inheritance contract;199;Pending;average service;18/01/2026
183;Fayoum University Office;car sale power of attorney;15;Completed;bad experience;06/01/2026
184;El Fayoum Al-Dawahy Office;general power of attorney (tax affairs);15;Completed;good;23/01/2026
185;Tamiya Office;general power of attorney (court cases);12;Completed;no feedback;16/01/2026
186;Fayoum University Office;motorcycle sale power of attorney;11;Pending;average service;01/01/2026
187;Tamiya Office;rental contract authentication;21;Pending;good service;02/01/2026
188;Unknown;vehicle inheritance contract;207;Pending;no feedback;24/01/2026
189;El Fayoum Al-Dawahy Office;car sale power of attorney;10;Pending;excellent staff;02/01/2026
190;Fayoum University Office;general comprehensive power of attorney (banks & others);15;Pending;excellent staff;12/01/2026
191;Fayoum Model Office;general power of attorney (court cases);10;Completed;no feedback;25/01/2026
192;Fayoum Model Office;car sale power of attorney;10;Pending;excellent staff;22/01/2026
193;Fayoum University Office;car sale power of attorney;10;Completed;excellent staff;08/01/2026
194;Youssef El-Seddik Office;general comprehensive power of attorney (banks & others);12;Pending;good;05/01/2026
195;Fayoum Model Office;vehicle inheritance contract;236;Completed;very slow process;01/01/2026
196;Senores Office;general comprehensive power of attorney (banks & others);13;Pending;not satisfied;05/01/2026
197;Fayoum University Office;vehicle inheritance contract;192;Pending;not satisfied;05/01/2026
198;Tamiya Office;vehicle inheritance contract;220;Pending;not satisfied;21/01/2026
199;Tamiya Office;car operation authorization;12;Completed;satisfied;21/01/2026
200;El Fayoum Al-Dawahy Office;general power of attorney (tax affairs);15;Completed;average service;29/01/2026
201;Itsaa Office;rental contract authentication;22;Completed;bad experience;18/01/2026
202;Al-Breid El-Gon Office;car sale power of attorney;12;Pending;no feedback;19/01/2026
203;Fayoum Model Office;general power of attorney (tax affairs);10;Completed;good service;31/01/2026
204;Senores Office;general comprehensive power of attorney (banks & others);15;Pending;average service;04/01/2026
205;Senores Office;rental contract authentication;19;Completed;satisfied;19/01/2026
206;Tamiya Office;general comprehensive power of attorney (banks & others);10;Completed;very slow process;12/01/2026
207;Itsaa Office;general power of attorney (tax affairs);12;Completed;no feedback;08/01/2026
208;Itsaa Office;general comprehensive power of attorney (banks & others);11;Completed;satisfied;06/01/2026
209;Fayoum Model Office;general comprehensive power of attorney (banks & others);13;Completed;no feedback;07/01/2026
210;Fayoum Model Office;rental contract authentication;22;Completed;not satisfied;29/01/2026
211;Tamiya Office;rental contract authentication;29;Completed;average service;28/01/2026
212;Tamiya Office;general power of attorney (tax affairs);38.48291949;Completed;no feedback;16/01/2026
213;Fayoum University Office;general power of attorney (court cases);15;Completed;very slow process;21/01/2026
214;Youssef El-Seddik Office;general power of attorney (court cases);10;Completed;good service;02/01/2026
215;Youssef El-Seddik Office;motorcycle sale power of attorney;13;Completed;good service;27/01/2026
216;Senores Office;car operation authorization;10;Completed;bad experience;04/01/2026
217;El Fayoum Al-Dawahy Office;rental contract authentication;28;Completed;good service;14/01/2026
218;Al-Breid El-Gon Office;car sale power of attorney;38.48291949;Completed;satisfied;24/01/2026
219;Unknown;motorcycle sale power of attorney;38.48291949;Pending;good service;31/01/2026
220;Fayoum University Office;car sale power of attorney;13;Pending;very slow process;02/01/2026
221;Fayoum Model Office;general power of attorney (court cases);13;Pending;average service;09/01/2026
222;Itsaa Office;vehicle inheritance contract;218;Completed;satisfied;24/01/2026
223;Itsaa Office;car sale power of attorney;11;Completed;average service;14/01/2026
224;Tamiya Office;general power of attorney (court cases);12;Pending;very slow process;05/01/2026
225;Fayoum Model Office;motorcycle sale power of attorney;10;Completed;bad experience;25/01/2026
226;Fayoum University Office;vehicle inheritance contract;216;Completed;good service;04/01/2026
227;Fayoum University Office;motorcycle sale power of attorney;10;Completed;no feedback;05/01/2026
228;Al-Breid El-Gon Office;vehicle inheritance contract;235;Completed;excellent staff;12/01/2026
229;Senores Office;motorcycle sale power of attorney;10;Completed;excellent staff;04/01/2026
230;Senores Office;motorcycle sale power of attorney;12;Completed;satisfied;02/01/2026
231;Itsaa Office;general comprehensive power of attorney (banks & others);10;Completed;satisfied;22/01/2026
232;Senores Office;car sale power of attorney;11;Pending;satisfied;19/01/2026
233;Fayoum Model Office;general comprehensive power of attorney (banks & others);11;Pending;bad experience;28/01/2026
234;Senores Office;general power of attorney (court cases);13;Pending;average service;12/01/2026
235;Itsaa Office;car sale power of attorney;15;Completed;no feedback;10/01/2026
236;Senores Office;vehicle inheritance contract;202;Completed;bad experience;16/01/2026
237;Senores Office;car operation authorization;14;Completed;average service;30/01/2026
238;El Fayoum Al-Dawahy Office;vehicle inheritance contract;211;Completed;no feedback;12/01/2026
239;Unknown;car sale power of attorney;10;Completed;good;23/01/2026
240;El Fayoum Al-Dawahy Office;vehicle inheritance contract;180;Completed;excellent staff;11/01/2026
241;Fayoum University Office;car operation authorization;12;Completed;not satisfied;09/01/2026
242;Youssef El-Seddik Office;rental contract authentication;28;Completed;excellent staff;05/01/2026
243;El Fayoum Al-Dawahy Office;vehicle inheritance contract;181;Completed;very slow process;20/01/2026
244;Fayoum Model Office;rental contract authentication;19;Completed;very slow process;17/01/2026
245;Fayoum University Office;vehicle inheritance contract;223;Completed;good service;10/01/2026
246;Fayoum Model Office;general power of attorney (court cases);11;Pending;excellent staff;15/01/2026
247;Tamiya Office;general power of attorney (tax affairs);15;Pending;average service;25/01/2026
248;El Fayoum Al-Dawahy Office;car operation authorization;13;Pending;good service;25/01/2026
249;Youssef El-Seddik Office;motorcycle sale power of attorney;12;Completed;very slow process;06/01/2026
250;El Fayoum Al-Dawahy Office;general comprehensive power of attorney (banks & others);12;Completed;average service;15/01/2026
251;Unknown;general comprehensive power of attorney (banks & others);10;Completed;average service;24/01/2026
252;Fayoum University Office;rental contract authentication;29;Completed;satisfied;26/01/2026
253;Fayoum Model Office;general power of attorney (tax affairs);15;Completed;no feedback;18/01/2026
254;Fayoum University Office;motorcycle sale power of attorney;14;Completed;good;21/01/2026
255;Al-Breid El-Gon Office;car sale power of attorney;13;Pending;good service;01/01/2026
256;Itsaa Office;general power of attorney (tax affairs);11;Pending;good;10/01/2026
257;Fayoum University Office;vehicle inheritance contract;185;Completed;excellent staff;18/01/2026
258;Youssef El-Seddik Office;vehicle inheritance contract;201;Completed;good;20/01/2026
259;Itsaa Office;rental contract authentication;25;Completed;not satisfied;28/01/2026
260;Al-Breid El-Gon Office;general comprehensive power of attorney (banks & others);10;Completed;no feedback;13/01/2026
261;Tamiya Office;general comprehensive power of attorney (banks & others);10;Pending;good;28/01/2026
262;Itsaa Office;car operation authorization;13;Completed;satisfied;06/01/2026
263;Fayoum University Office;general power of attorney (tax affairs);12;Completed;good service;12/01/2026
264;Fayoum University Office;general power of attorney (tax affairs);15;Pending;satisfied;29/01/2026
265;Fayoum University Office;vehicle inheritance contract;195;Pending;good;22/01/2026
266;El Fayoum Al-Dawahy Office;general comprehensive power of attorney (banks & others);14;Pending;excellent staff;04/01/2026
267;Al-Breid El-Gon Office;general power of attorney (court cases);12;Completed;average service;12/01/2026
268;Fayoum Model Office;car sale power of attorney;13;Completed;good service;20/01/2026
269;Al-Breid El-Gon Office;motorcycle sale power of attorney;13;Completed;good service;27/01/2026
270;Senores Office;car sale power of attorney;12;Completed;average service;16/01/2026
271;Fayoum Model Office;rental contract authentication;18;Completed;average service;18/01/2026
272;Unknown;motorcycle sale power of attorney;12;Completed;not satisfied;17/01/2026
273;El Fayoum Al-Dawahy Office;vehicle inheritance contract;205;Completed;not satisfied;19/01/2026
274;Fayoum Model Office;vehicle inheritance contract;182;Completed;good service;09/01/2026
275;Youssef El-Seddik Office;motorcycle sale power of attorney;12;Completed;no feedback;08/01/2026
276;Tamiya Office;vehicle inheritance contract;199;Completed;good service;06/01/2026
277;Unknown;car sale power of attorney;13;Pending;very slow process;24/01/2026
278;Al-Breid El-Gon Office;motorcycle sale power of attorney;10;Pending;excellent staff;15/01/2026
279;Youssef El-Seddik Office;motorcycle sale power of attorney;10;Completed;satisfied;25/01/2026
280;Tamiya Office;rental contract authentication;22;Pending;bad experience;09/01/2026
281;Itsaa Office;vehicle inheritance contract;218;Completed;excellent staff;17/01/2026
282;Itsaa Office;car sale power of attorney;11;Completed;excellent staff;04/01/2026
283;Youssef El-Seddik Office;motorcycle sale power of attorney;10;Completed;very slow process;04/01/2026
284;El Fayoum Al-Dawahy Office;general comprehensive power of attorney (banks & others);12;Completed;average service;12/01/2026
285;Senores Office;motorcycle sale power of attorney;13;Pending;good service;02/01/2026
286;Itsaa Office;car sale power of attorney;10;Completed;not satisfied;15/01/2026
287;Youssef El-Seddik Office;car operation authorization;10;Completed;very slow process;30/01/2026
288;Al-Breid El-Gon Office;general comprehensive power of attorney (banks & others);11;Completed;very slow process;03/01/2026
289;Youssef El-Seddik Office;car sale power of attorney;15;Pending;very slow process;27/01/2026
290;El Fayoum Al-Dawahy Office;general comprehensive power of attorney (banks & others);11;Completed;good service;25/01/2026
291;Tamiya Office;car sale power of attorney;12;Pending;good;21/01/2026
292;Itsaa Office;rental contract authentication;21;Completed;good service;08/01/2026
293;Unknown;motorcycle sale power of attorney;13;Pending;not satisfied;24/01/2026
294;Fayoum University Office;general comprehensive power of attorney (banks & others);11;Completed;excellent staff;26/01/2026
295;El Fayoum Al-Dawahy Office;motorcycle sale power of attorney;10;Pending;satisfied;30/01/2026
296;Fayoum Model Office;rental contract authentication;18;Pending;average service;14/01/2026
297;Youssef El-Seddik Office;car operation authorization;13;Pending;satisfied;18/01/2026
298;Senores Office;general power of attorney (tax affairs);10;Completed;satisfied;03/01/2026
299;Fayoum University Office;car operation authorization;11;Pending;good;21/01/2026
300;Senores Office;general power of attorney (court cases);10;Completed;average service;31/01/2026
301;El Fayoum Al-Dawahy Office;general comprehensive power of attorney (banks & others);15;Completed;very slow process;07/01/2026
302;Itsaa Office;car operation authorization;13;Completed;no feedback;26/01/2026
303;Fayoum Model Office;motorcycle sale power of attorney;14;Completed;good service;06/01/2026
304;Fayoum University Office;general power of attorney (court cases);14;Completed;not satisfied;12/01/2026
305;Youssef El-Seddik Office;general comprehensive power of attorney (banks & others);12;Pending;very slow process;18/01/2026
306;Tamiya Office;motorcycle sale power of attorney;10;Pending;average service;24/01/2026
307;Fayoum University Office;general power of attorney (tax affairs);10;Completed;very slow process;17/01/2026
308;Tamiya Office;car sale power of attorney;12;Completed;excellent staff;20/01/2026
309;Tamiya Office;general power of attorney (tax affairs);38.48291949;Completed;not satisfied;01/01/2026
310;Fayoum Model Office;vehicle inheritance contract;227;Completed;very slow process;11/01/2026
311;Al-Breid El-Gon Office;general power of attorney (court cases);12;Completed;average service;04/01/2026
312;El Fayoum Al-Dawahy Office;car sale power of attorney;13;Pending;good;25/01/2026
313;Al-Breid El-Gon Office;rental contract authentication;22;Completed;bad experience;26/01/2026
314;Unknown;car operation authorization;15;Pending;no feedback;31/01/2026
315;El Fayoum Al-Dawahy Office;motorcycle sale power of attorney;10;Pending;good;07/01/2026
316;Itsaa Office;general power of attorney (court cases);13;Pending;no feedback;17/01/2026
317;Youssef El-Seddik Office;general power of attorney (court cases);12;Completed;good service;08/01/2026
318;Youssef El-Seddik Office;car operation authorization;10;Pending;very slow process;30/01/2026
319;Fayoum University Office;vehicle inheritance contract;187;Pending;good;02/01/2026
320;Youssef El-Seddik Office;general comprehensive power of attorney (banks & others);13;Completed;average service;10/01/2026
321;Tamiya Office;car sale power of attorney;15;Pending;good;28/01/2026
322;Youssef El-Seddik Office;motorcycle sale power of attorney;13;Completed;bad experience;08/01/2026
323;Fayoum University Office;general power of attorney (court cases);15;Pending;excellent staff;31/01/2026
324;Senores Office;rental contract authentication;17;Completed;satisfied;08/01/2026
325;Senores Office;car operation authorization;15;Completed;not satisfied;30/01/2026
326;Tamiya Office;motorcycle sale power of attorney;10;Completed;satisfied;23/01/2026
327;Itsaa Office;general power of attorney (tax affairs);12;Pending;satisfied;30/01/2026
328;Al-Breid El-Gon Office;general power of attorney (tax affairs);10;Pending;satisfied;25/01/2026
329;Tamiya Office;general power of attorney (court cases);14;Completed;bad experience;14/01/2026
330;Tamiya Office;rental contract authentication;16;Pending;satisfied;20/01/2026
331;Al-Breid El-Gon Office;general comprehensive power of attorney (banks & others);15;Completed;satisfied;04/01/2026
332;Youssef El-Seddik Office;general power of attorney (court cases);11;Pending;average service;26/01/2026
333;Senores Office;rental contract authentication;16;Completed;no feedback;02/01/2026
334;Tamiya Office;general power of attorney (court cases);15;Pending;excellent staff;04/01/2026
335;Itsaa Office;vehicle inheritance contract;214;Pending;satisfied;19/01/2026
336;Tamiya Office;rental contract authentication;30;Pending;satisfied;02/01/2026
337;Senores Office;general power of attorney (court cases);14;Completed;no feedback;23/01/2026
338;Tamiya Office;general power of attorney (tax affairs);10;Pending;good service;20/01/2026
339;Youssef El-Seddik Office;car operation authorization;13;Pending;average service;02/01/2026
